dra,ddec,dra (arcsec),ddec (arcsec),Filter,Module,dra_rms,ddec_rms
0.10557878281503008,-0.11392229418403232,0.10557878281503008,-0.11392229418403232,F182M,nrca1,0.007908661180807321,0.007267821360916464
0.14112720603662865,-0.10447320875233146,0.14112720603662865,-0.10447320875233146,F182M,nrca2,0.006916748234267331,0.006896237879991102
0.09870329986938486,-0.08422301794999143,0.09870329986938486,-0.08422301794999143,F182M,nrca3,0.0056467954675239445,0.005169130527846166
0.1336906785340375,-0.08055834230011882,0.1336906785340375,-0.08055834230011882,F182M,nrca4,0.005610656658067519,0.005916413574361023
0.13537607554212627,-0.1007660998548765,0.13537607554212627,-0.1007660998548765,F182M,nrcb1,0.006017102849666106,0.006106090187195025
0.09671982293468773,-0.11140813098640123,0.09671982293468773,-0.11140813098640123,F182M,nrcb2,0.007064852333672335,0.007327081895227404
0.13860540403953792,-0.1280579734927123,0.13860540403953792,-0.1280579734927123,F182M,nrcb3,0.006300278314034694,0.007596832208479722
0.10369890988783936,-0.13611257392280862,0.10369890988783936,-0.13611257392280862,F182M,nrcb4,0.008004051748295922,0.006115426075064027
0.1053247066394647,-0.11657085138878642,0.1053247066394647,-0.11657085138878642,F187N,nrca1,0.00795102589020803,0.005686338702376962
0.1436823637817497,-0.10583738163738587,0.1436823637817497,-0.10583738163738587,F187N,nrca2,0.006666982150626839,0.008382339343901375
0.09519069415375725,-0.08713527198604964,0.09519069415375725,-0.08713527198604964,F187N,nrca3,0.007758481008447813,0.005899693699645804
0.14186013159473987,-0.07697261409616019,0.14186013159473987,-0.07697261409616019,F187N,nrca4,0.006230979691573535,0.005921852211460519
0.1383392547907647,-0.09855469096233804,0.1383392547907647,-0.09855469096233804,F187N,nrcb1,0.005785799440778367,0.006371185808200139
0.09340769870647136,-0.11209254626125542,0.09340769870647136,-0.11209254626125542,F187N,nrcb2,0.006053085351114817,0.009249057614239086
0.14428747314809698,-0.12692302523094057,0.14428747314809698,-0.12692302523094057,F187N,nrcb3,0.0068967531403555426,0.009023189513676024
0.10292972136909384,-0.1402348317925295,0.10292972136909384,-0.1402348317925295,F187N,nrcb4,0.009320731768669028,0.006835216468744152
0.1071966806946989,-0.11595299182287633,0.1071966806946989,-0.11595299182287633,F212N,nrca1,0.007247880480396454,0.0066034295358926715
0.1436409456530896,-0.10741790048598432,0.1436409456530896,-0.10741790048598432,F212N,nrca2,0.006790511246769849,0.008346747742751093
0.09631325907264454,-0.08643582672434036,0.09631325907264454,-0.08643582672434036,F212N,nrca3,0.007653330976145182,0.005419875970675015
0.14113847173859995,-0.07764810206225548,0.14113847173859995,-0.07764810206225548,F212N,nrca4,0.005796855304842611,0.005471183222215705
0.1394668518742037,-0.0987041155121382,0.1394668518742037,-0.0987041155121382,F212N,nrcb1,0.005692029750818572,0.0059751854204284326
0.09388962847509674,-0.11025026459936527,0.09388962847509674,-0.11025026459936527,F212N,nrcb2,0.005862225793714857,0.008179665862881744
0.14490437673657652,-0.12825796713142879,0.14490437673657652,-0.12825796713142879,F212N,nrcb3,0.007024052717728333,0.008754202568675661
0.10192711754513084,-0.1403239826645475,0.10192711754513084,-0.1403239826645475,F212N,nrcb4,0.009213115651423973,0.007276124527136409
0.11109273457208246,-0.10255490933088751,0.11109273457208246,-0.10255490933088751,F405N,nrcalong,0.007406557172853807,0.006355036537506789
0.13382018476164603,-0.11327350422360993,0.13382018476164603,-0.11327350422360993,F405N,nrcblong,0.007514337106989237,0.00807695284985178
0.13485057950077817,-0.07598772327312986,0.13485057950077817,-0.07598772327312986,F410M,nrcalong,0.007032861122129042,0.006873149720687222
0.10798978337049903,-0.141002478967156,0.10798978337049903,-0.141002478967156,F410M,nrcblong,0.007227851098157802,0.008038637114456758
0.1200120006572547,-0.10106588609923861,0.1200120006572547,-0.10106588609923861,F466N,nrcalong,0.007141596497351244,0.006448680226122441
0.1247715072253186,-0.11600145035313147,0.1247715072253186,-0.11600145035313147,F466N,nrcblong,0.008231433298559507,0.007684885848652233
